Condition,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
nrc,21.8429,2.26633125,0.657890375,0.240059,0.246615625,0.374766138,0.229330175,0.325741,0.237227863,0.2552585
nrc,44.2941375,30.224475,7.66013,2.6905725,1.014477125,0.444652875,0.219942375,0.217259938,0.247658625,0.326933313
nrc,26.5206625,9.47838625,2.41310875,0.763540125,0.410081875,0.270010475,0.36359025,0.380876188,0.218452163,0.106692875
nrc,16.011075,33.9795625,14.1144625,5.68810875,2.98561375,1.42634875,0.841622125,0.35762975,0.251533125,0.202656988
nrc,21.6089,8.37449375,0.700060375,0.28133575,0.42587765,0.28163335,0.264348238,0.297130875,0.255109625,0.339450238
nrc,182.73225,51.083875,10.27351125,2.31028875,1.020435375,0.705724125,0.54836675,0.255109375,0.302793125,0.32663525
nrc,79.6723125,23.9427375,6.764565,3.0839625,1.39535375,0.793342,0.486973,0.380875688,0.30040925,0.262261638
nrc,13.2379625,13.5884625,2.29628,0.811819125,0.2750769,0.337363988,0.3081575,0.241996325,0.207127388,0.271203
nrc,8.4685175,1.69218375,0.299068038,0.23082035,0.187606913,0.301452488,0.2075745,0.254811163,0.299365838,0.204444988
nrc,6.73253,1.49131875,0.27358685,0.244827463,0.182391413,0.29266075,0.267030388,0.244827525,0.272692725,0.243337365
nrc,46.3780875,6.6161525,2.039085875,0.851157125,0.678303738,0.631216625,0.555518875,0.488164375,0.463725913,0.4851845
nrc,23.8202625,5.10338375,0.875597125,0.44703775,0.26285795,0.277759325,0.224412638,0.171364475,0.213385738,0.267328125
nrc,6.39889375,1.047407875,0.302197275,0.453147,0.389518375,0.3175453,0.424089125,0.374170125,0.372233225,0.45046425
nrc,0.382961838,0.227094938,0.17136444,0.2771635,0.321270875,0.261367863,0.20444495,0.286997863,0.22769125,0.329019375
nrc,54.177925,3.90471875,0.5197555,0.471475375,0.385644125,0.376107625,0.318290625,0.371935113,0.31054205,0.352861175
nrc,18.93825,2.2015075,0.4041215,0.32991365,0.327231375,0.523927875,0.290574025,0.384452125,0.448825125,0.41842675
nrc,128.77875,16.1112,5.8019525,2.91110875,1.45078525,0.485184625,0.243188375,0.334979875,0.189544063,0.35047725
nrc,37.67245,39.7255625,10.506575,3.61057,2.03342125,0.994211125,0.76592375,0.477137875,0.466408738,0.369253
nrc,106.972,42.850075,29.8060625,11.27487625,5.860365,2.13504625,1.517545,0.82493225,0.48756875,0.2825276
nrc,31.7813375,3.75153375,2.4652625,0.439884625,0.332595725,0.3099455,0.258685375,0.305177625,0.28133525,0.307561625
nrc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
nrc,16.2322,6.321705,2.59937375,0.639561375,0.35822575,0.329019475,0.308753875,0.225306938,0.264049888,0.2175581
nrc,202.287625,61.38355,18.8542375,7.87739,3.9148525,1.66894,0.841621625,0.586512875,0.302793288,0.276567188
nrc,180.40775,46.7231875,9.36274375,4.06744,2.03610375,1.091961625,0.500681625,0.381471225,0.383856125,0.22888325
nrr,64.899625,6.47637875,1.39743875,0.540617125,0.456872475,0.243188275,0.29295855,0.312628125,0.344516625,0.35763
nrr,32.040025,6.580985,0.6929085,0.502767625,0.355544038,0.40740025,0.249446913,0.3325955,0.385942375,0.4002476
nrr,10.03167625,0.994359,0.507834,0.264497125,0.230373125,0.253321125,0.146330275,0.262708888,0.21919725,0.277014188
nrr,11.70285,1.815865,0.714067875,0.240207875,0.349881125,0.40412155,0.3203769,0.197888538,0.194908325,0.28282575
nrr,14.752525,1.7556625,0.45150775,0.300409075,0.389518125,0.357331725,0.323357188,0.401141625,0.362696288,0.369550625
nrr,4.9387225,0.639114375,0.475200763,0.360759,0.314118225,0.401588375,0.352563675,0.340344388,0.342132875,0.374915
nrr,3.64215875,0.54210725,0.340940875,0.292809438,0.303091125,0.2813356,0.34496375,0.353606625,0.398012125,0.2557055
nrr,9.386875,0.462534625,0.1847752,0.199974625,0.190139875,0.309945875,0.214577838,0.216067938,0.2068294,0.173450325
nrr,10.1830725,1.288065,0.497403875,0.221283375,0.210107875,0.226499013,0.21353475,0.304581125,0.262112775,0.269861438
nrr,1.11550575,0.265242138,0.305773613,0.26881845,0.331254638,0.4300499,0.26077175,0.185818463,0.203849025,0.306220875
nrr,22.68,0.79483175,0.3671665,0.232757375,0.395478763,0.27537475,0.414851,0.30249525,0.286997963,0.3868365
nrr,8.81064625,1.386562125,0.397118163,0.299217,0.319333625,0.274927888,0.276567125,0.34704975,0.18015605,0.270159713
