Condition,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
rc,118,124,136,139,145,145,151,154,,
rc,127,133,142,145,154,,151,,,
rc,127,130,136,139,139,142,148,151,,
rc,133,130,139,142,145,151,151,148,,
rc,118,127,130,130,136,139,136,145,148,
rc,124,133,136,139,151,151,151,154,151,
rc,106,118,133,133,142,136,148,151,151,151
rc,127,130,136,145,148,148,151,,,
rc,118,127,136,139,145,145,151,154,154,
rc,106,121,124,130,136,139,145,148,151,151
rc,106,112,121,124,130,133,139,142,145,151
rc,106,112,127,127,121,124,127,139,139,151
rc,109,124,124,133,136,136,145,148,148,154
rc,115,124,127,127,124,136,142,148,148,151
rc,112,121,124,124,145,145,145,148,148,151
rc,106,124,121,136,133,136,145,145,148,148
rc,115,127,130,136,139,142,145,148,151,151
rc,106,121,124,124,133,139,139,145,148,151
rc,115,130,133,136,136,142,145,148,148,148
rc,103,112,118,124,133,133,139,139,139,145
rc,109,115,118,121,124,129,129,129,145,148
rc,109,124,130,133,136,142,145,148,148,154
rc,106,118,121,127,133,136,139,139,145,148
rc,100,109,115,124,127,133,133,133,136,139
rr,130,139,142,151,151,148,148,145,,
rr,109,115,115,124,130,130,136,136,142,142
rr,106,121,124,127,127,130,148,145,148,148
rr,109,124,130,133,136,133,151,154,,
rr,115,133,136,142,141,148,148,,,
rr,121,133,136,145,148,145,145,,,
rr,127,142,142,145,151,151,148,,,
rr,118,133,139,142,145,148,154,151,151,
rr,118,142,142,148,154,154,154,154,154,
rr,124,145,145,148,154,,,,,
rr,121,130,136,139,142,145,151,154,154,
rr,124,130,139,139,145,136,154,154,,154
rr,100,115,115,124,133,127,136,142,139,142
rr,103,115,130,133,136,136,142,142,145,145
rr,112,124,127,127,130,130,136,136,139,145
rr,115,133,142,148,151,148,,,,
rr,112,133,136,139,145,145,,,,
rr,112,127,133,136,136,142,148,148,145,154
rr,106,118,124,127,130,127,139,133,145,148
rr,112,130,133,133,139,142,142,148,148,148
rr,100,106,118,124,127,136,133,139,139,145
rr,106,118,124,124,130,133,136,139,139,142
rr,106,112,115,124,124,136,139,148,154,154
rr,109,127,136,136,142,145,151,154,,
