Condition,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
rc,82.1905625,25.688575,12.2619375,6.97974125,2.75375375,1.08719425,0.888114,0.62942875,0.256301225,0.236035675
rc,129.295125,61.1773,6.45045125,5.3906825,0.73910225,0.210405613,0.3923495,0.3767035,0.213534775,0.303091263
rc,71.2564625,58.5761625,26.0485625,12.2476375,5.21186625,2.39135125,1.2731625,0.64134875,0.309945625,0.351669475
rc,28.4715,65.9886,26.4067875,11.686175,4.17711125,1.62125625,0.8308935,0.500085375,0.330807388,0.280142875
rc,60.4972125,40.64645,28.3064,13.3658375,7.944145,3.5059625,2.07902,1.27793,0.518563375,0.21994255
rc,52.2443625,50.177275,26.7876625,12.7959875,6.8581475,3.4702025,2.043855,1.3744925,0.65863525,0.31352245
rc,94.861975,43.521825,27.10415,15.265425,9.8109875,3.278275,1.8346375,1.362569125,0.761751375,0.551942375
rc,99.4712375,42.3601375,15.5974125,10.1054425,6.04633375,2.5761275,0.813012125,0.247956563,0.284911875,0.17285445
rc,92.0015625,46.8376,21.3875,12.48845,6.3527,1.93358375,1.069311625,0.596049625,0.357629625,0.228883188
rc,150.125625,21.3874875,33.0807125,18.6372625,11.814925,5.0556975,2.5797075,1.099117,0.739101875,0.429155875
rc,202.43525,53.723175,110.6745,54.4384,24.812375,13.6233125,7.03577,3.802795,1.72615875,1.080040625
rc,201.30625,84.9121625,44.642975,29.8298875,17.8612125,8.685625,3.34979875,2.55705375,1.39714025,0.66042375
rc,349.900625,54.436025,108.96725,66.249675,26.5885875,11.70165,5.2810025,3.77179875,1.85013625,1.08481025
rc,190.360625,92.4974375,44.91715,8.5580725,3.37721625,3.33311,2.2554475,1.176601625,1.326808625,0.866655625
rc,292.951,104.0272875,64.3757,33.5480125,16.791875,8.36137625,4.57527625,2.55586375,1.3494575,1.013284125
rc,229.002125,44.0719625,45.578775,25.465625,13.3109875,6.14170125,2.88726875,1.58310875,0.875000875,0.71287525
rc,234.788625,67.0602625,41.6854125,20.0702125,9.16962,5.7363875,2.84435125,1.57834,0.81539525,0.524523475
rc,303.83275,184.167625,103.2740125,72.300725,31.8171125,13.103575,8.79292,5.9867275,2.81574125,1.23740025
