ReproductiveState,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
nrc,21.8429,2.26633125,0.657890375,0.240059,0.246615625,0.374766138,0.229330175,0.325741,0.237227863,0.2552585
nrc,44.2941375,30.224475,7.66013,2.6905725,1.014477125,0.444652875,0.219942375,0.217259938,0.247658625,0.326933313
nrc,26.5206625,9.47838625,2.41310875,0.763540125,0.410081875,0.270010475,0.36359025,0.380876188,0.218452163,0.106692875
nrc,16.011075,33.9795625,14.1144625,5.68810875,2.98561375,1.42634875,0.841622125,0.35762975,0.251533125,0.202656988
nrc,21.6089,8.37449375,0.700060375,0.28133575,0.42587765,0.28163335,0.264348238,0.297130875,0.255109625,0.339450238
nrc,182.73225,51.083875,10.27351125,2.31028875,1.020435375,0.705724125,0.54836675,0.255109375,0.302793125,0.32663525
nrc,79.6723125,23.9427375,6.764565,3.0839625,1.39535375,0.793342,0.486973,0.380875688,0.30040925,0.262261638
nrc,13.2379625,13.5884625,2.29628,0.811819125,0.2750769,0.337363988,0.3081575,0.241996325,0.207127388,0.271203
nrc,8.4685175,1.69218375,0.299068038,0.23082035,0.187606913,0.301452488,0.2075745,0.254811163,0.299365838,0.204444988
nrc,6.73253,1.49131875,0.27358685,0.244827463,0.182391413,0.29266075,0.267030388,0.244827525,0.272692725,0.243337365
nrc,46.3780875,6.6161525,2.039085875,0.851157125,0.678303738,0.631216625,0.555518875,0.488164375,0.463725913,0.4851845
nrc,23.8202625,5.10338375,0.875597125,0.44703775,0.26285795,0.277759325,0.224412638,0.171364475,0.213385738,0.267328125
nrc,6.39889375,1.047407875,0.302197275,0.453147,0.389518375,0.3175453,0.424089125,0.374170125,0.372233225,0.45046425
nrc,0.382961838,0.227094938,0.17136444,0.2771635,0.321270875,0.261367863,0.20444495,0.286997863,0.22769125,0.329019375
nrc,54.177925,3.90471875,0.5197555,0.471475375,0.385644125,0.376107625,0.318290625,0.371935113,0.31054205,0.352861175
nrc,18.93825,2.2015075,0.4041215,0.32991365,0.327231375,0.523927875,0.290574025,0.384452125,0.448825125,0.41842675
nrc,128.77875,16.1112,5.8019525,2.91110875,1.45078525,0.485184625,0.243188375,0.334979875,0.189544063,0.35047725
nrc,37.67245,39.7255625,10.506575,3.61057,2.03342125,0.994211125,0.76592375,0.477137875,0.466408738,0.369253
nrc,106.972,42.850075,29.8060625,11.27487625,5.860365,2.13504625,1.517545,0.82493225,0.48756875,0.2825276
nrc,31.7813375,3.75153375,2.4652625,0.439884625,0.332595725,0.3099455,0.258685375,0.305177625,0.28133525,0.307561625
nrc,,,,,,,,,,
nrc,16.2322,6.321705,2.59937375,0.639561375,0.35822575,0.329019475,0.308753875,0.225306938,0.264049888,0.2175581
nrc,202.287625,61.38355,18.8542375,7.87739,3.9148525,1.66894,0.841621625,0.586512875,0.302793288,0.276567188
nrc,180.40775,46.7231875,9.36274375,4.06744,2.03610375,1.091961625,0.500681625,0.381471225,0.383856125,0.22888325
rc,8.30297575,18.97165,2.20598,0.6824765,0.240208075,0.243784363,0.333191688,0.286699625,0.291468613,0.314118175
rc,18.03405,5.11440875,0.52988825,0.443162875,0.231863125,0.270606625,0.33915235,0.307561625,0.288190125,0.337662125
rc,16.7486875,17.244575,2.4190675,1.4624075,0.579062625,0.474158,0.389816375,0.287891963,0.329615475,0.365378625
rc,2.62292125,8.69784625,1.89990875,0.59902975,0.2834215,0.308157625,0.304283375,0.257791488,0.149906538,0.3412385
rc,49.2724625,9.461085,8.77086,3.02853125,1.70470125,0.79870625,0.69976225,0.426771625,0.290276263,0.258685875
rc,14.2888175,3.7566025,1.32889375,0.55522075,0.346602875,0.31918475,0.236035988,0.267924375,0.270010625,0.17881465
rc,25.9711,4.83903,1.78337875,0.934905125,0.63002475,0.550153875,0.2038492,0.3024952,0.275077,0.247062775
rc,17.70505,3.56079875,1.000766375,0.3427285,0.25808975,0.2652424,0.193716163,0.1961005,0.1966965,0.22947925
rc,15.36945,4.7344225,0.665787625,0.636283375,0.298323125,0.28729625,0.2014645,0.257791338,0.28610415,0.254513188
rc,93.5924,11.0841625,10.0851575,2.31684125,1.4352875,0.56267075,0.260473675,0.284315875,0.230075113,0.233651625
rc,81.86995,25.588425,25.2570125,7.9083825,2.91826375,1.502045,0.84877475,0.581744375,0.317626375,0.321458125
rc,148.8405,26.2774375,10.1984225,4.3332775,2.243535,0.964408875,0.528099875,0.48637625,0.422002875,0.317098475
