Sample_name,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16
PN1Landmarks,-0.091769701,0.057334351,-0.105319783,-0.043948006,-0.052635194,0.006692651,0.004274005,0.024596172,-0.008369612,0.01307197,0.054588467,-0.041722207,-0.005883824,0.057493619,-0.016322999,0.005393321
PN2Landmarks,-0.077192673,0.071962945,-0.034717459,0.040425075,0.007310994,-0.016609702,-0.083282335,0.066795053,-0.037991899,-0.008942616,0.056344709,-0.05783002,-0.008326354,0.052958424,-0.010917542,0.005393321
PN3Landmarks,-0.110995446,0.013705521,-0.008652743,-0.088443069,0.064355818,-0.010270409,-0.028687473,0.011527202,-0.027416461,-0.022853965,0.058170668,-0.061465667,-0.025182369,0.044187632,-0.010432322,0.005393321
PN4Landmarks,-0.12912233,0.03345368,0.028068754,-0.036195717,-0.01762224,-0.049586149,-0.079817974,-0.014243236,-0.030537993,0.032081712,0.04837327,-0.024289006,-0.008558196,0.048090498,-0.015124111,0.005393321
PN5Landmarks,-0.132220568,0.049007889,-0.007981389,-0.02267379,-0.041847501,-0.048485993,-0.030184068,0.017690077,-0.043611809,-0.020870773,-0.001135295,-0.050675109,-0.036408575,0.067873429,-0.010584512,0.005393321
PN6Landmarks,-0.105628057,0.05590574,0.059383136,0.007461246,-0.017147553,-0.079534312,0.025594262,0.026691338,-0.037711924,-0.000240144,0.057773032,-0.061917796,0.001971511,0.045780304,-0.013918293,0.005393321
PN7Landmarks,-0.060377609,0.057737608,-0.014146156,-0.050767924,-0.069580783,-0.034632698,-0.051434239,-0.003517476,-0.058772418,-0.004840336,0.071309565,-0.077347123,-0.015089854,0.058718946,0.007937775,0.005393321
PN8Landmarks,-0.124712851,0.044705726,-0.029591838,-0.022819346,-0.045698745,-0.025999013,-0.059809011,-0.015588653,-0.020891246,-0.02626171,0.032337973,-0.081872963,0.011750279,0.036444572,-0.029413624,0.005393321
PN9Landmarks,0.121988571,0.089288881,-0.052606961,-0.001042207,0.010371693,-0.013505108,-0.018451864,-0.005165117,-0.076597006,0.008332501,0.027775018,-0.050051357,-0.015563194,0.02761771,-0.015548409,0.005393321
PN12Landmarks,0.098719643,0.079431996,0.083140774,-0.027685305,-0.040117042,0.053279804,-0.033763359,0.021471591,-0.011292383,-0.00703765,0.036968307,-0.052033546,-0.013167796,0.048033455,-0.014981712,0.005393321
PN14Landmarks,0.105242366,0.054466082,-0.019147021,-0.054575228,-0.014984377,-0.072423152,-0.046766029,0.040895746,0.00472147,0.027268625,0.025485724,-0.080885255,-0.020879319,0.038468233,-0.012203298,0.005393321
PN16Landmarks,0.098531393,0.097460483,-0.026206851,0.027334933,0.011894168,-0.053670684,-0.033940565,-0.02880364,0.010646933,-0.015825045,0.055633804,-0.053520239,-0.023210414,0.063538356,-0.013980505,0.005393321
PN17Landmarks,0.115436264,0.053769091,-0.02058889,-0.052721373,-0.048090818,-0.073725144,-0.043882354,0.033211403,-0.0219193,-0.04123741,0.050538928,-0.022948742,-0.008718687,0.03229581,-0.012708801,0.005393321
PN19Landmarks,0.095824504,0.05127303,-0.002815995,-0.048848516,-0.025135057,-0.044953389,-0.041727508,0.024707215,-0.053329105,-0.001763943,0.062537526,-0.059866439,-0.024546786,0.065798817,-0.04749302,0.005393321
PN20Landmarks,0.125993427,0.051347314,-0.012973998,-0.056479916,0.021975444,-0.03968902,-0.038265502,0.017592891,-0.037518966,-0.005909167,0.024406104,-0.051154223,0.026851199,0.074529512,-0.010368142,0.005393321
PN22Landmarks,0.116950333,-0.108170027,-0.018122475,0.017751001,-0.024772985,-0.021802969,-0.030932949,0.011142065,-0.027498354,-0.003721268,0.042785165,-0.054777869,-0.01295829,0.050865033,-0.01382562,0.005393321
