	DX	DY	DZ	
	m	m	m	
Node 60: 1: 0.0 Hz	6.75957e-6	2.89659e-5	-1.14307e-6	
Node 60: 2: 25.0 Hz	7.57022e-6	3.25809e-5	-1.47824e-6	
Node 60: 3: 28.3646 Hz	7.82348e-6	3.37146e-5	-1.58499e-6	
Node 60: 4: 50.0 Hz	1.03866e-5	4.53329e-5	-2.79152e-6	
Node 60: 5: 50.1598 Hz	1.0408e-5	4.54318e-5	-2.80359e-6	
Node 60: 6: 67.9919 Hz	1.07944e-5	4.76571e-5	-3.76853e-6	
Node 60: 7: 69.454 Hz	1.05704e-5	4.66832e-5	-3.7734e-6	
Node 60: 8: 75.0 Hz	9.5003e-6	4.19158e-5	-3.70047e-6	
Node 60: 9: 80.5485 Hz	8.32769e-6	3.65056e-5	-3.56122e-6	
Node 60: 10: 89.394 Hz	6.74784e-6	2.87088e-5	-3.40736e-6	
Node 60: 11: 100.0 Hz	5.54871e-6	2.16967e-5	-3.49691e-6	
Node 60: 12: 120.237 Hz	4.52368e-6	1.34903e-5	-4.14098e-6	
Node 60: 13: 125.0 Hz	4.34093e-6	1.2231e-5	-4.25298e-6	
Node 60: 14: 129.311 Hz	4.16751e-6	1.126e-5	-4.31792e-6	
Node 60: 15: 142.442 Hz	-3.58702e-6	9.09197e-6	4.29734e-6	
Node 60: 16: 146.936 Hz	-3.37791e-6	8.55869e-6	4.22321e-6	
Node 60: 17: 150.0 Hz	-3.23502e-6	8.24023e-6	4.15644e-6	
Node 60: 18: 166.486 Hz	-2.50516e-6	6.96e-6	3.63938e-6	
Node 60: 19: 175.0 Hz	-2.18214e-6	6.4759e-6	3.32794e-6	
Node 60: 20: 184.177 Hz	-1.89131e-6	6.02676e-6	3.01259e-6	
Node 60: 21: 197.232 Hz	-1.57992e-6	5.47372e-6	2.65746e-6	
Node 60: 22: 200.0 Hz	-1.52757e-6	5.36673e-6	2.59961e-6	
Node 60: 23: 204.712 Hz	-1.44774e-6	5.19184e-6	2.51544e-6	
Node 60: 24: 212.011 Hz	-1.34395e-6	4.93764e-6	2.41875e-6	
Node 60: 25: 214.284 Hz	-1.31582e-6	4.86234e-6	2.39632e-6	
Node 60: 26: 217.891 Hz	-1.27463e-6	4.74635e-6	2.36747e-6	
Node 60: 27: 225.0 Hz	-1.20394e-6	4.52941e-6	2.33183e-6	
Node 60: 28: 250.0 Hz	-1.02224e-6	3.86071e-6	2.34841e-6	
Node 60: 29: 253.857 Hz	-9.99033e-7	3.76677e-6	2.36093e-6	
Node 60: 30: 256.009 Hz	-9.8633e-7	3.71513e-6	2.36828e-6	
Node 60: 31: 271.668 Hz	-8.96053e-7	-3.35384e-6	2.4212e-6	
Node 60: 32: 275.0 Hz	-8.76815e-7	-3.28024e-6	2.4307e-6	
Node 60: 33: 278.879 Hz	-8.54241e-7	-3.19627e-6	2.44034e-6	
Node 60: 34: 291.043 Hz	-7.81706e-7	-2.94795e-6	2.45801e-6	
Node 60: 35: 300.0 Hz	-7.26522e-7	-2.78524e-6	2.4566e-6	
Node 60: 36: 302.006 Hz	-7.13991e-7	-2.75182e-6	2.45447e-6	
Node 60: 37: 309.966 Hz	-6.63844e-7	-2.6321e-6	2.4395e-6	
Node 60: 38: 314.893 Hz	-6.32642e-7	-2.56934e-6	2.42511e-6	
Node 60: 39: 325.0 Hz	-5.68922e-7	-2.47002e-6	2.38418e-6	
Node 60: 40: 332.746 Hz	-5.20978e-7	-2.42061e-6	2.34356e-6	
Node 60: 41: 350.0 Hz	-4.19738e-7	-2.38073e-6	2.23041e-6	
Node 60: 42: 352.215 Hz	-4.07481e-7	-2.38093e-6	2.21411e-6	
