	DX	DY	DZ	
	m	m	m	
Node 1025: 1: 0.0 Hz	1.77866e-5	4.36614e-6	1.68782e-5	
Node 1025: 2: 14.8424 Hz	1.89067e-5	4.15971e-6	1.93314e-5	
Node 1025: 3: 16.6339 Hz	1.92125e-5	4.19142e-6	2.00197e-5	
Node 1025: 4: 18.1274 Hz	1.95025e-5	4.2756e-6	2.06719e-5	
Node 1025: 5: 25.0 Hz	2.13857e-5	6.22869e-6	2.45278e-5	
Node 1025: 6: 25.7088 Hz	2.16507e-5	6.64911e-6	2.49735e-5	
Node 1025: 7: 35.5784 Hz	2.6805e-5	1.48954e-5	2.7937e-5	
Node 1025: 8: 37.2406 Hz	2.73915e-5	1.56891e-5	2.73904e-5	
Node 1025: 9: 39.8727 Hz	2.75038e-5	1.60049e-5	2.60588e-5	
Node 1025: 10: 42.1489 Hz	2.66629e-5	1.54077e-5	2.46032e-5	
Node 1025: 11: 43.4527 Hz	2.58164e-5	1.47828e-5	2.36878e-5	
Node 1025: 12: 47.2364 Hz	2.23464e-5	1.23381e-5	2.08813e-5	
Node 1025: 13: 50.0 Hz	1.94299e-5	1.04229e-5	1.887e-5	
Node 1025: 14: 51.4775 Hz	1.78995e-5	9.4627e-6	1.78591e-5	
Node 1025: 15: 61.6258 Hz	9.81013e-6	4.82933e-6	1.26068e-5	
Node 1025: 16: 62.6836 Hz	9.22611e-6	4.51865e-6	1.22121e-5	
Node 1025: 17: 73.0068 Hz	5.35975e-6	2.53786e-6	9.32463e-6	
Node 1025: 18: 75.0 Hz	4.89551e-6	2.31881e-6	8.91998e-6	
Node 1025: 19: 87.2501 Hz	3.09547e-6	1.63316e-6	7.12242e-6	
Node 1025: 20: 89.2682 Hz	2.90677e-6	1.59355e-6	6.90983e-6	
Node 1025: 21: 100.0 Hz	2.1928e-6	1.60088e-6	6.01963e-6	
Node 1025: 22: 105.754 Hz	1.99377e-6	1.72386e-6	5.66115e-6	
Node 1025: 23: 107.58 Hz	1.95673e-6	1.77625e-6	5.55994e-6	
Node 1025: 24: 125.0 Hz	2.09614e-6	2.51059e-6	4.80029e-6	
Node 1025: 25: 126.323 Hz	2.13176e-6	2.5796e-6	4.75324e-6	
Node 1025: 26: 132.804 Hz	2.33277e-6	2.93319e-6	4.53623e-6	
Node 1025: 27: 150.0 Hz	2.96015e-6	3.86538e-6	4.04613e-6	
Node 1025: 28: 150.257 Hz	2.96958e-6	3.87787e-6	4.03974e-6	
Node 1025: 29: 151.844 Hz	3.02751e-6	3.95356e-6	4.0009e-6	
Node 1025: 30: 154.968 Hz	3.13941e-6	4.09452e-6	-3.92791e-6	
Node 1025: 31: 164.868 Hz	3.46907e-6	4.46619e-6	-3.72721e-6	
Node 1025: 32: 172.472 Hz	3.69198e-6	4.67652e-6	-3.60242e-6	
